replicate,M1_R2,M1_RMSE,M2_R2,M2_RMSE,M3_R2,M3_RMSE,delta_R2_M3_M1
163,0.4560509046580916,0.6176114889151089,0.2242841148547725,0.7375433971399459,0.45930910136521363,0.6157589974224683,0.0032581967071220186
164,0.48044798361705443,0.6120491782564448,0.26570769931175087,0.7276227831096261,0.4947370585262657,0.6035740019034574,0.014289074909211275
165,0.42845846893917594,0.6174380224127229,0.22068967876637335,0.7209824400304133,0.44352952710003346,0.6092429828983271,0.01507105816085752
166,0.423450351514697,0.6030415482162786,0.2482709118482752,0.6885881697201053,0.4487423916982002,0.5896661226393014,0.025292040183503173
167,0.4237710285421308,0.6111621631662305,0.15787899196041955,0.7388327964008387,0.4310468354306125,0.6072914589163428,0.007275806888481728
168,0.3859362043470471,0.62560954523226,0.16754061788400787,0.7284137683176121,0.393226321006824,0.6218848640043233,0.007290116659776857
169,0.42618084691173874,0.6024012930731756,0.20175053922809927,0.7105059059405959,0.44146614057307865,0.5943238085054471,0.015285293661339905
170,0.4100252946861608,0.6194880662749074,0.1782672880939128,0.7311080007489295,0.4201342950173995,0.6141577840336402,0.010109000331238738
171,0.4088638441114615,0.6238958654658403,0.20722706246885436,0.7225081565014866,0.42305824924391755,0.6163598348020254,0.014194405132456067
172,0.4673496179822417,0.5751831342321145,0.24463157620590326,0.6849587764981623,0.4740948575369929,0.5715296033334909,0.006745239554751148
173,0.41040591314894415,0.6370329791877567,0.1998817789409092,0.7421000093419806,0.43089205686970944,0.6258679037508955,0.020486143720765293
174,0.4144835753220004,0.6247378214941544,0.2255021461887018,0.718519182390963,0.4291149265501534,0.6168827152426677,0.014631351228152956
175,0.47360799158091016,0.598762470447407,0.24410960527563208,0.717512284965242,0.4851726514539476,0.5921486351592314,0.011564659873037453
176,0.40828626715666483,0.6237782501494644,0.1691612041462791,0.7391503504966641,0.4219528899056232,0.6165325645973017,0.013666622748958357
177,0.4385997503873861,0.6157037102244495,0.19912927096654875,0.7353882398100378,0.4452281705782346,0.6120581284788805,0.006628420190848527
178,0.4703271250648824,0.6034542871801374,0.2200361157825249,0.7322809854487664,0.4718673982914413,0.6025762346700674,0.0015402732265589192
179,0.4636496357643809,0.6238103534354383,0.23148533689222905,0.7467141267773073,0.4733686717206921,0.618132579124125,0.009719035956311184
180,0.4099635160414672,0.6210219497713118,0.2362195300212151,0.7065644649806951,0.4288229074472001,0.6110164574793564,0.018859391405732895
181,0.46472546831336947,0.6067063234953516,0.21192440891748032,0.7361633115939407,0.47050021779487217,0.6034247570980409,0.0057747494815026945
182,0.4432559017302914,0.6154321322463936,0.2076165561261103,0.7342095899318303,0.45108826362533005,0.6110878018428634,0.007832361895038664
183,0.45180352323900186,0.5920046188614377,0.17961298104991785,0.7242130812062709,0.46108848279949144,0.5869697332354266,0.00928495956048958
184,0.4049909739445202,0.6351754234804532,0.16522732480130164,0.7523432368602744,0.41954457048780136,0.627359310761165,0.014553596543281144
185,0.3934891722784737,0.6133947212934573,0.15172602591511686,0.7254188329063135,0.39985731267274305,0.6101660145003134,0.0063681403942693615
186,0.48491625386468806,0.6000264227358785,0.21817435859903866,0.7392416155627993,0.4906733999241023,0.5966637202957794,0.005757146059414242
187,0.4767385106075477,0.5953649784113244,0.21467071460446852,0.7293731874753154,0.4896664330015994,0.5879643104794742,0.012927922394051716
188,0.4268097010437688,0.6164622929503542,0.16061466647262768,0.7459982176571888,0.4280540174146078,0.615792802486371,0.0012443163708389937
189,0.4037940090375258,0.6273871785819264,0.1325902730223596,0.7567450959786431,0.39920539004795363,0.6297968514352448,-0.004588618989572191
190,0.4645496617096905,0.6096685968727735,0.15025052115430038,0.7680326459869699,0.4587369976601767,0.6129688403962418,-0.005812664049513749
191,0.4605095087624653,0.5875356156061046,0.20689473963970872,0.7123734352658666,0.4649941269607033,0.5850885182463651,0.004484618198237977
192,0.4449829181357714,0.6095693400096531,0.18698150577691575,0.7377685745854855,0.4433030028915367,0.6104911594957992,-0.0016799152442347198
193,0.4550534174290487,0.6159805479254059,0.22368364900216064,0.73520660124073,0.47293989703171047,0.6057872135099592,0.017886479602661765
194,0.4721629154575927,0.6249504574946327,0.20905338830288822,0.7650137227785277,0.47838798295986285,0.6212543386418555,0.006225067502270143
195,0.45417401051236395,0.6169208871185757,0.19985294466524095,0.7469426785285893,0.4549802078902838,0.6164651156823304,0.0008061973779198706
196,0.49633713280948133,0.5809782650735474,0.27419916404874156,0.6974268299812294,0.506605295449601,0.5750255746167157,0.010268162640119649
197,0.43780447198569783,0.6213577610557486,0.1702832838986259,0.7548539879655316,0.4455385666141355,0.6170689665987417,0.00773409462843766
198,0.44568959358857585,0.6055642773982973,0.2033660920578355,0.7259607253067398,0.4632884882211459,0.5958736585056433,0.017598894632570028
199,0.451577470134216,0.5991172868122359,0.28572543156277463,0.6837334081347322,0.48184811505515246,0.5823482142935927,0.03027064492093645
200,0.4115398235752352,0.6079674130860515,0.1795205631051232,0.717886214246586,0.41575973506815433,0.6057835909385954,0.004219911492919115
201,0.44140056308959585,0.6274397837219945,0.20508523361611553,0.7484832532591068,0.4464212130280656,0.6246137283833769,0.0050206499384697345
202,0.4539286335528201,0.6165653998699575,0.2162971099327956,0.7386354909293175,0.4575917902477975,0.6144938975769045,0.0036631566949774097
203,0.418304151426377,0.6160438684910793,0.19905737644153976,0.7228769223139819,0.42440124162745674,0.6128068079519567,0.006097090201079736
204,0.46399574220806195,0.6014347971064613,0.22979442921194027,0.720954338034574,0.4730594416846826,0.5963280597868872,0.009063699476620668
205,0.4105917325994657,0.6048950640571628,0.12653459910215292,0.7363677882196142,0.40237732290426065,0.6090956015961537,-0.008214409695205038
206,0.430016708533177,0.6107891460776771,0.15946138337152305,0.7417184530975055,0.4288169666173067,0.6114316246815332,-0.001199741915870245
207,0.4070262649840608,0.6255755370099514,0.19491086808151892,0.7289269557778133,0.42178646862813374,0.6177406122134053,0.014760203644072933
208,0.4117111857482125,0.6165597584809928,0.20093560723545478,0.718572793005862,0.42960137340158056,0.6071124179104783,0.017890187653368028
209,0.43650018875435004,0.5968445661209703,0.21030779801975763,0.7065506195381732,0.44920954546646874,0.5900754677971227,0.012709356712118702
210,0.4280008929848408,0.6050105055350664,0.2167663041906096,0.707963588757854,0.43724451254423136,0.6001020491880358,0.00924361955939057
211,0.49962192006456163,0.5883029806851007,0.21350967928725828,0.7375621161896087,0.504523113066713,0.585414682777495,0.004901193002151416
