model,block_type,start_component,end_component,bootstrap_replicates,median_min_canonical_correlation,min_canonical_correlation_q05,min_canonical_correlation_q95,median_mean_canonical_correlation,mean_canonical_correlation_q05,mean_canonical_correlation_q95,median_subspace_overlap,subspace_overlap_q05,subspace_overlap_q95,median_max_principal_angle_degrees,max_principal_angle_degrees_q05,max_principal_angle_degrees_q95,component_swap_frequency,block_escape_frequency,subspace_stable
Llama-3.3-70B,adjacent_pair,34,35,500,0.07904748909851922,0.008539068460217427,0.22770284464372778,0.1974492663947186,0.09648178820605349,0.3226168143586192,0.05305407572599978,0.013506568010798263,0.13090406006610072,85.46618235528534,76.83812769501276,89.51074146935989,0.006,0.986,False
Llama-3.3-70B,adjacent_pair,35,36,500,0.07578691818723704,0.0072635463355041,0.22429555011651625,0.20302550985751922,0.09246415379714815,0.3344058538730806,0.05393064566519218,0.010409785936022483,0.1267972148977251,85.65356184296405,77.03854240967478,89.58382578765385,0.01,0.988,False
Llama-3.3-70B,adjacent_pair,36,37,500,0.0752816626914462,0.0077525597675936345,0.21976967553528037,0.1894458743060328,0.09425534481840776,0.32687043560639206,0.04814406461673394,0.011833228677425244,0.1282492929620694,85.68259383879824,77.30449456252825,89.55580659531729,0.002,0.994,False
Llama-3.3-70B,adjacent_pair,37,38,500,0.07262723894095281,0.006827702877954168,0.22060934429219017,0.17990473648244576,0.08187686612938672,0.31533340425533724,0.04314380749659155,0.009621502101840483,0.12754718135171153,85.83509877712822,77.25517385459469,89.60879839991297,0.006,0.994,False
Llama-3.3-70B,adjacent_pair,38,39,500,0.07137026069592836,0.0066788345374790385,0.20266563315132102,0.17716914698306596,0.08549630432838837,0.2918120452896432,0.041340806720493464,0.010281228989020398,0.11131346563420044,85.90730569668648,78.30711817532327,89.61732811871322,0.004,0.99,False
Llama-3.3-70B,adjacent_pair,39,40,500,0.06991700574227214,0.006857919646955106,0.21343282476314465,0.1749944745595193,0.0832681475540191,0.31453675533637426,0.04097916144778982,0.009925219900742716,0.11981231451956448,85.99077965293894,77.67639911039666,89.6070670612012,0.002,0.994,False
Llama-3.3-70B,adjacent_pair,40,41,500,0.07193730184546673,0.005471733767301257,0.2271628526621465,0.18466525867267175,0.08039968685082548,0.29972883202869827,0.04792526088512375,0.008860740548930513,0.11067228241026915,85.87473234867481,76.86990170967047,89.68649118409468,0.004,0.994,False
Llama-3.3-70B,adjacent_pair,41,42,500,0.07924820395994764,0.007123902016593833,0.22115249495739692,0.18305805920616128,0.08196236475934905,0.30972029159479697,0.04583754755446263,0.010507617882393799,0.12081171406152102,85.4546462004167,77.22326642075984,89.59182702351181,0.008,0.984,False
Llama-3.3-70B,adjacent_pair,42,43,500,0.06738533922931525,0.006145032898900774,0.2094318708512604,0.1755218544529187,0.07286002568607093,0.2991983484431766,0.04118618887538412,0.007949078106203527,0.11283918439122691,86.1361765284176,77.91093419453547,89.64791333389519,0.004,0.992,False
Llama-3.3-70B,adjacent_pair,43,44,500,0.07272855286998414,0.007133782015529742,0.21105029599462988,0.16776106804011484,0.08364191586596853,0.2980937609725939,0.038321674363036684,0.010464294134329127,0.10708574771573638,85.82927853847734,77.81607648992865,89.59126093162044,0.004,0.992,False
Llama-3.3-70B,adjacent_pair,44,45,500,0.06603939327545946,0.0064583185469068655,0.2114510472725777,0.16320028629211447,0.07229866888233107,0.2888752313082003,0.03724499529260638,0.007298498694035219,0.10685666985835472,86.21346575835969,77.79259906221746,89.62996303197744,0.004,0.99,False
Llama-3.3-70B,cumulative_top_k,1,3,500,0.8467306291868485,0.6132380501190658,0.9576175726644884,0.9410906693482397,0.8605513938663559,0.9780524368921583,0.8903497652047554,0.7726762425292805,0.9568337179338641,32.142140984306096,16.740810221277474,52.17598996978908,nan,nan,False
Llama-3.3-70B,cumulative_top_k,1,4,500,0.8648535677832369,0.44148859008449615,0.9469264802254974,0.9510282349007362,0.8412568876371772,0.976002666654909,0.9072344476071668,0.7667568137105639,0.952952762012834,30.13377404636897,18.750639447135878,63.80108622485234,nan,nan,False
Llama-3.3-70B,cumulative_top_k,1,5,500,0.7615054290719971,0.20158360832035926,0.9143734262738535,0.9286032580144048,0.8105107460127581,0.9659808045576446,0.8705294790659897,0.7567695849681697,0.9340341190974978,40.40290391404879,23.883095672528903,78.37042056608422,nan,nan,False
Llama-3.3-70B,cumulative_top_k,1,6,500,0.7219546901301162,0.16568464429330723,0.886348396641851,0.9212046584159717,0.8222302721391209,0.9592401347445333,0.8578791731655631,0.758584982971814,0.9218075749528747,43.78389386008034,27.581887071063903,80.46299081821158,nan,nan,False
Llama-3.3-70B,cumulative_top_k,1,8,500,0.4661526427708678,0.04755154478112706,0.8072065473532144,0.8817292245799213,0.8238896548053081,0.9396945524886533,0.813315952325057,0.7535457912572514,0.8868250313570755,62.21515312838411,36.17606129189372,87.27446933049436,nan,nan,False
Llama-3.3-70B,cumulative_top_k,1,10,500,0.35994395182871525,0.03520351238642876,0.7154723227014499,0.8787956228712692,0.8339085520633028,0.9272448965646498,0.8113715058896781,0.7604309816935982,0.8686784901615693,68.90314611422843,44.318078893483474,87.98257024825999,nan,nan,False
Llama-3.3-70B,cumulative_top_k,1,35,500,0.04780427229774221,0.004587565483328273,0.16923135452928606,0.8463522176046688,0.8153381720065651,0.8761670329642192,0.7742207414270694,0.7370685146122098,0.8109689047036744,87.25997267025062,80.2568677981132,89.7371509375836,nan,nan,False
Gemma-2-27B,adjacent_pair,1,2,500,0.9742960064529872,0.9085764297662077,0.9884585096168769,0.984111591840738,0.9521604324821488,0.9918622265268083,0.9685837122996194,0.9085106841896526,0.9838101832413017,13.018829566316715,8.713390114691094,24.690632639205184,0.0,0.002,True
