model,model_key,role,trait,raw_cosine,within_model_z_score,within_model_percentile
Qwen/Qwen3-32B,qwen,programmer,adventurous,-0.0783652066046,-0.329748658047,41.6058394161
Qwen/Qwen3-32B,qwen,proofreader,adventurous,-0.165003293061,-1.71684626682,1.82481751825
Qwen/Qwen3-32B,qwen,prophet,adventurous,0.00905386606249,1.06985273688,85.0364963504
Qwen/Qwen3-32B,qwen,provincial,adventurous,-0.0526059909454,0.0826628794926,53.2846715328
Qwen/Qwen3-32B,qwen,provocateur,adventurous,0.0749262593102,2.12448636161,99.6350364964
Qwen/Qwen3-32B,qwen,psychologist,adventurous,-0.12665666241,-1.10290704152,15.6934306569
Qwen/Qwen3-32B,qwen,publisher,adventurous,-0.115887584556,-0.930491389815,22.2627737226
Qwen/Qwen3-32B,qwen,purist,adventurous,-0.110141261006,-0.838491300911,26.2773722628
Qwen/Qwen3-32B,qwen,realist,adventurous,-0.0975301077614,-0.636583557738,33.5766423358
Qwen/Qwen3-32B,qwen,rebel,adventurous,0.0716485168828,2.07200887891,99.2700729927
Qwen/Qwen3-32B,qwen,recruiter,adventurous,-0.1038942904,-0.738475726425,28.8321167883
Qwen/Qwen3-32B,qwen,refugee,adventurous,-0.060100141333,-0.0373203577619,48.5401459854
Qwen/Qwen3-32B,qwen,reporter,adventurous,-0.115821473793,-0.929432939827,22.9927007299
Qwen/Qwen3-32B,qwen,researcher,adventurous,-0.141717458974,-1.34403419189,8.02919708029
Qwen/Qwen3-32B,qwen,retiree,adventurous,-0.0574257830996,0.0054967918588,50.3649635036
Qwen/Qwen3-32B,qwen,revenant,adventurous,0.00120303778016,0.944158996604,80.6569343066
Qwen/Qwen3-32B,qwen,reviewer,adventurous,-0.14987212825,-1.47459250309,6.20437956204
Qwen/Qwen3-32B,qwen,revolutionary,adventurous,0.00720941456322,1.04032260333,83.5766423358
Qwen/Qwen3-32B,qwen,robot,adventurous,-0.127973719987,-1.12399346542,14.598540146
Qwen/Qwen3-32B,qwen,rogue,adventurous,0.028814196064,1.38622060251,91.2408759124
Qwen/Qwen3-32B,qwen,romantic,adventurous,-0.00899296063749,0.780918491155,74.0875912409
Qwen/Qwen3-32B,qwen,saboteur,adventurous,-0.0314713129032,0.42103440377,62.7737226277
Qwen/Qwen3-32B,qwen,sage,adventurous,-0.0414520258271,0.261240673357,57.6642335766
Qwen/Qwen3-32B,qwen,scheduler,adventurous,-0.130245103514,-1.16035888839,13.1386861314
Qwen/Qwen3-32B,qwen,scholar,adventurous,-0.138475308664,-1.29212654796,8.75912408759
Qwen/Qwen3-32B,qwen,scientist,adventurous,-0.141351880722,-1.33818119191,8.39416058394
Qwen/Qwen3-32B,qwen,scout,adventurous,-0.0637911073647,-0.0964136545554,47.0802919708
Qwen/Qwen3-32B,qwen,screener,adventurous,-0.165602531004,-1.72644021738,1.4598540146
Qwen/Qwen3-32B,qwen,secretary,adventurous,-0.182431829178,-1.99588152444,0
Qwen/Qwen3-32B,qwen,shaman,adventurous,-0.023406852528,0.55014844772,66.4233576642
Qwen/Qwen3-32B,qwen,shapeshifter,adventurous,-0.0119368001601,0.733786878148,70.0729927007
Qwen/Qwen3-32B,qwen,simulacrum,adventurous,-0.000103981231742,0.923233292676,78.8321167883
Qwen/Qwen3-32B,qwen,skeptic,adventurous,-0.118335520173,-0.969683456247,19.7080291971
Qwen/Qwen3-32B,qwen,smuggler,adventurous,0.0315449620406,1.42994085432,93.0656934307
Qwen/Qwen3-32B,qwen,sociologist,adventurous,-0.131774441187,-1.18484397013,12.7737226277
Qwen/Qwen3-32B,qwen,soldier,adventurous,-0.0571896828222,0.00927681682863,50.7299270073
Qwen/Qwen3-32B,qwen,sommelier,adventurous,-0.0692108842587,-0.183185649151,44.5255474453
Qwen/Qwen3-32B,qwen,specialist,adventurous,-0.115992496,-0.932171048482,21.897810219
Qwen/Qwen3-32B,qwen,spirit,adventurous,-0.0146175122546,0.690868001611,68.9781021898
Qwen/Qwen3-32B,qwen,spy,adventurous,-0.0374634841207,0.325098231734,58.7591240876
Qwen/Qwen3-32B,qwen,statistician,adventurous,-0.124675596247,-1.07118967276,17.5182481752
Qwen/Qwen3-32B,qwen,stoic,adventurous,-0.112424046303,-0.875039269094,24.8175182482
Qwen/Qwen3-32B,qwen,strategist,adventurous,-0.103360178391,-0.729924458482,29.5620437956
Qwen/Qwen3-32B,qwen,student,adventurous,-0.113152643145,-0.886704288246,23.7226277372
Qwen/Qwen3-32B,qwen,summarizer,adventurous,-0.170431284961,-1.80374978574,0.36496350365
Qwen/Qwen3-32B,qwen,supervisor,adventurous,-0.157160062282,-1.59127416449,4.74452554745
Qwen/Qwen3-32B,qwen,surfer,adventurous,0.0346301650489,1.47933573237,94.5255474453
Qwen/Qwen3-32B,qwen,survivor,adventurous,3.92634479023e-05,0.925526676115,79.197080292
Qwen/Qwen3-32B,qwen,swarm,adventurous,-0.0593832712126,-0.0258430863852,48.9051094891
Qwen/Qwen3-32B,qwen,symbiont,adventurous,-0.0688115026077,-0.17679144822,44.8905109489
Qwen/Qwen3-32B,qwen,synthesizer,adventurous,-0.0939856826033,-0.579836417277,34.3065693431
Qwen/Qwen3-32B,qwen,teacher,adventurous,-0.115834175894,-0.929636303665,22.6277372263
Qwen/Qwen3-32B,qwen,technologist,adventurous,-0.0681041715493,-0.165466899632,45.2554744526
Qwen/Qwen3-32B,qwen,teenager,adventurous,0.0221331681128,1.27925566048,89.7810218978
Qwen/Qwen3-32B,qwen,theorist,adventurous,-0.0992644409072,-0.66435066869,32.4817518248
Qwen/Qwen3-32B,qwen,therapist,adventurous,-0.103862902837,-0.737973203627,29.197080292
Qwen/Qwen3-32B,qwen,toddler,adventurous,0.0276925169321,1.36826223679,90.8759124088
Qwen/Qwen3-32B,qwen,traditionalist,adventurous,-0.148746489724,-1.45657074647,6.56934306569
Qwen/Qwen3-32B,qwen,trainer,adventurous,-0.101923621898,-0.706924826829,31.3868613139
Qwen/Qwen3-32B,qwen,translator,adventurous,-0.143486222508,-1.37235254204,7.66423357664
Qwen/Qwen3-32B,qwen,tree,adventurous,-0.0295725256236,0.451434466871,63.1386861314
Qwen/Qwen3-32B,qwen,trickster,adventurous,0.0649623598147,1.96496181842,97.4452554745
Qwen/Qwen3-32B,qwen,tulpa,adventurous,-0.0439715954197,0.220901728904,55.8394160584
Qwen/Qwen3-32B,qwen,tutor,adventurous,-0.1130949199,-0.885780124532,24.0875912409
Qwen/Qwen3-32B,qwen,validator,adventurous,-0.156201232329,-1.57592305519,5.10948905109
Qwen/Qwen3-32B,qwen,vampire,adventurous,0.00209452326532,0.958431903997,81.7518248175
Qwen/Qwen3-32B,qwen,vegan,adventurous,-0.0955121775571,-0.604275986373,33.9416058394
Qwen/Qwen3-32B,qwen,veteran,adventurous,-0.065528811954,-0.124234743169,45.6204379562
Qwen/Qwen3-32B,qwen,veterinarian,adventurous,-0.146783424483,-1.425141577,6.93430656934
Qwen/Qwen3-32B,qwen,vigilante,adventurous,0.00961790329815,1.07888311524,85.7664233577
Qwen/Qwen3-32B,qwen,virtuoso,adventurous,-0.0223004306173,0.56786254148,67.1532846715
Qwen/Qwen3-32B,qwen,virus,adventurous,-0.0346968674198,0.36939246268,60.2189781022
