persona,nearest_neighbor_distance,mean_5nn_distance,mean_5nn_distance_percentile,profile_pca_reconstruction_error,reconstruction_error_percentile,neighbor_1,neighbor_1_distance,neighbor_2,neighbor_2_distance,neighbor_3,neighbor_3_distance,neighbor_4,neighbor_4_distance,neighbor_5,neighbor_5_distance
designer,1.9752801584952508,3.4310594813571087,13.454545454545455,1.1044447553362777,0.36363636363636365,architect,1.9752801584952508,geographer,3.0462984481828554,producer,3.5780271612901826,publisher,4.276219301343015,biologist,4.279472337474237
destroyer,5.923897471222331,7.497901492475603,80.0,1.6183424332888927,7.636363636363637,anarchist,5.923897471222331,saboteur,7.201175870059898,revolutionary,7.22595823598708,spy,8.436156786684275,perfectionist,8.702319098424436
detective,3.6897665125340073,4.380024982646313,32.36363636363636,2.0245441775871673,20.363636363636363,chemist,3.6897665125340073,scout,4.456958578537065,mathematician,4.560287851636501,physicist,4.596508898435105,reporter,4.596603072088889
devils_advocate,4.460991097194606,6.4994692653747705,66.54545454545455,3.641110672500755,80.36363636363636,saboteur,4.460991097194606,spy,4.801529414770784,playwright,7.509239864640825,contrarian,7.817800298853212,scout,7.907785651414422
dilettante,6.986412049828024,8.556921088861511,87.27272727272727,3.809729573214275,83.27272727272728,trickster,6.986412049828024,actor,7.0786900285536865,genie,9.247157216752464,amnesiac,9.286179561221795,narrator,10.186166587951591
dispatcher,4.490954735322202,5.245949947520854,49.45454545454545,2.6179812668018205,49.09090909090909,pilot,4.490954735322202,scheduler,4.599359503263302,paramedic,5.212592472109569,trainer,5.903615873757527,pragmatist,6.023227153151672
divorcee,3.970375030824475,4.643891795573552,39.27272727272727,2.3117492524395735,37.09090909090909,celebrity,3.970375030824475,orphan,4.534151682407441,graduate,4.714590839054368,retiree,4.734097202732578,addict,5.266244222848896
doctor,2.140801886796912,3.5490323742007113,15.272727272727273,2.0742944555027174,22.181818181818183,pharmacist,2.140801886796912,nutritionist,3.112523393753182,assistant,3.575891386159588,mediator,4.025203771914538,veterinarian,4.890741432379335
dreamer,4.1393265187101775,4.6212198413936445,38.54545454545455,2.3117244154214807,36.72727272727273,narrator,4.1393265187101775,bard,4.297405955904161,witch,4.32443092645731,wind,4.942487248504494,ghost,5.402448557392081
echo,3.3127740334491977,3.8819837236106265,23.636363636363637,2.541730673504482,45.81818181818182,ghost,3.3127740334491977,wraith,3.8124634489805422,ancient,3.822550316066683,oracle,4.143290980450201,wind,4.3188398391065075
economist,2.45868985910505,3.006111955577974,6.545454545454546,2.166703234059747,28.363636363636363,engineer,2.45868985910505,forecaster,2.957015117968756,reviewer,3.1067101146475515,strategist,3.1434759964884713,researcher,3.3646686896800406
ecosystem,3.5886003258736943,5.1481283681794725,48.0,3.4333244564214875,74.90909090909092,naturalist,3.5886003258736943,composer,4.721314007603433,symbiont,4.822306509233022,collector,6.304103379115395,hybrid,6.304317619071816
editor,4.934744797996762,5.574474180129945,53.090909090909086,2.7688570257507314,54.18181818181819,nutritionist,4.934744797996762,scheduler,5.113746227135632,translator,5.666040246678132,pharmacist,6.035766815181253,debugger,6.1220728136579465
egregore,5.996714363842211,6.203154131611104,63.63636363636363,1.7942193035281153,12.363636363636363,virtuoso,5.996714363842211,avatar,6.092515414594847,artisan,6.202243598561921,sage,6.245497594122233,mycorrhizal,6.478799686934306
elder,5.322340767186264,5.962897186067879,60.72727272727273,2.0780113265065254,22.90909090909091,refugee,5.322340767186264,artisan,5.575910796906923,immigrant,6.1255483255245995,musician,6.305917591118612,widow,6.484768449603001
eldritch,5.959570803227001,7.363258520006274,77.81818181818181,3.2635557522915937,72.36363636363636,leviathan,5.959570803227001,void,6.586750120803224,wraith,7.185581128745576,aberration,8.49831645232775,revenant,8.586074094927817
emissary,3.8391158902377374,5.073473499221732,46.909090909090914,1.9449393604681473,16.363636363636363,peacekeeper,3.8391158902377374,ambassador,4.786353921112397,pacifist,5.062377194348589,conservator,5.561181356955489,negotiator,6.118339133454447
empath,4.998331022305885,6.7116650515212255,69.0909090909091,2.6227591365358984,49.45454545454545,immigrant,4.998331022305885,musician,6.33932522743965,refugee,7.198207592232218,elder,7.330067338807469,photographer,7.692394076820907
engineer,2.45868985910505,2.6778338004874085,3.272727272727273,1.7803981711384775,12.0,economist,2.45868985910505,strategist,2.626244027936926,consultant,2.7030876655960316,organizer,2.7977770894514453,planner,2.80337036034759
entrepreneur,5.483905268250393,6.086007696397169,62.54545454545455,2.3276876651056746,38.18181818181819,technologist,5.483905268250393,activist,5.567335423309413,programmer,6.189568019803523,reporter,6.534677371449904,scout,6.654552399172612
