family,target,baseline_r2,candidate_r2,delta_r2
HEXACO:H:X:L,IPIPneo:E4:AL,0.11308097436790532,0.12430723630562468,0.011226261937719362
HEXACO:H:X:L,IPIPneo:E5:ES,0.10186158083732977,0.1092836878713207,0.007422107033990932
HEXACO:H:X:L,IPIPneo:N1:ANX,0.2110155820203814,0.21200560208521158,0.0009900200648301771
HEXACO:H:X:L,IPIPneo:N4:SC,0.30871437898817244,0.3120596522659258,0.003345273277753358
HEXACO:H:X:L,IPIPneo:N5:IM,0.11457224386382547,0.11414094159825816,-0.00043130226556731266
HEXACO:H:X:L,IPIPneo:O1:IM,0.12264888992016276,0.12368616133398869,0.0010372714138259242
HEXACO:H:X:L,IPIPneo:O2:AI,0.10853650686961636,0.10820205096345725,-0.0003344559061591035
HEXACO:H:X:L,IPIPneo:O3:EM,0.1857573816411251,0.18603417974043857,0.0002767980993134689
HEXACO:H:X:L,IPIPneo:O4:AD,0.1278684482165473,0.1304696949894466,0.0026012467728993016
HEXACO:H:X:L,IPIPneo:O5:IN,0.23894149575369705,0.23834459586831525,-0.0005968998853818075
HEXACO:H:X:L,IPIPneo:O6:LI,0.07717833234222127,0.07762311003381239,0.000444777691591125
HEXACO:H:X:L,MPQ:MPQ:AB,0.12567722958925842,0.12493230956817802,-0.0007449200210803975
HEXACO:H:X:L,MPQ:MPQ:AC,0.26863776291342845,0.27534495532919334,0.0067071924157648954
HEXACO:H:X:L,MPQ:MPQ:AG,0.12090376736613428,0.12066192717510604,-0.00024184019102824195
HEXACO:H:X:L,MPQ:MPQ:AL,0.3009458474425877,0.30103779138926523,9.19439466775529e-05
HEXACO:H:X:L,MPQ:MPQ:CO,0.2068767794494386,0.20574745017340768,-0.0011293292760309326
HEXACO:H:X:L,MPQ:MPQ:HA,0.1133822344468427,0.11892193803224804,0.005539703585405342
HEXACO:H:X:L,MPQ:MPQ:SC,0.35928056623115456,0.3652881252449146,0.006007559013760044
HEXACO:H:X:L,MPQ:MPQ:SP,0.318387336141137,0.3197420507389599,0.0013547145978228814
HEXACO:H:X:L,MPQ:MPQ:TR,0.0912678673106333,0.09139443950136306,0.00012657219072975678
HEXACO:H:X:L,MPQ:MPQ:UV,0.12192667155283854,0.12495503925939055,0.0030283677065520154
HEXACO:H:X:L,PS:PS:P,0.29617585159574444,0.29914232554148945,0.0029664739457450073
HEXACO:H:X:L,QB6:QB6:A,0.1547511416134263,0.1529398998218111,-0.0018112417916151813
HEXACO:H:X:L,QB6:QB6:C,0.2880013064446012,0.2911753465665182,0.003174040121917021
HEXACO:H:X:L,QB6:QB6:H,0.08561940155417092,0.08531454993163445,-0.0003048516225364617
HEXACO:H:X:L,QB6:QB6:O,0.15143966040127266,0.15146386741103446,2.420700976180079e-05
HEXACO:H:X:L,QB6:QB6:X,0.2235785378398859,0.22617305606432436,0.002594518224438458
QB6:QB6:ES,BFAS:BFAS:A:C,0.2752415204521521,0.27474086385143615,-0.0005006566007159652
QB6:QB6:ES,BFAS:BFAS:A:P,0.13728131607445693,0.13705986971251427,-0.00022144636194265654
QB6:QB6:ES,BFAS:BFAS:C:I,0.27240724578999154,0.27344247202338856,0.0010352262333970241
QB6:QB6:ES,BFAS:BFAS:C:O,0.1802797798388266,0.1802038443786972,-7.5935460129406e-05
QB6:QB6:ES,BFAS:BFAS:E:A,0.29742663863956864,0.2972337536801529,-0.00019288495941571782
QB6:QB6:ES,BFAS:BFAS:N:V,0.2220636365578451,0.22116372686981478,-0.0008999096880303314
QB6:QB6:ES,BFAS:BFAS:O:I,0.22619625289866152,0.2254911730928335,-0.0007050798058280128
