model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
qwen,8,32,3026923,20,4109309,0.7370649292596485,0.818275945146163
qwen,8,33,3026924,20,4109405,0.661363250869708,0.7087539433323109
qwen,8,34,3026925,20,4109496,0.8980700801679476,0.9056014405854105
qwen,8,35,3026926,20,4109608,0.5191726101060758,0.6464992774900931
qwen,8,36,3026927,20,4109697,0.5967721023313798,0.6870859826042871
qwen,8,37,3026928,20,4109795,0.6313662278454477,0.7582280823859517
qwen,8,38,3026929,20,4109909,0.7855314209513841,0.7829767811523615
qwen,8,39,3026930,20,4109997,0.6130466284338888,0.6933418410162736
qwen,8,40,3026931,20,4110096,0.7522858901442829,0.7788476301261011
qwen,8,41,3026932,20,4110204,0.6045978618544243,0.6631871162815978
qwen,8,42,3026933,20,4110304,0.6801049059152297,0.7316859600667961
qwen,8,43,3026934,20,4110394,0.7646076910784501,0.7624347663159723
qwen,8,44,3026935,20,4110493,0.803216172224558,0.8207718996036589
qwen,8,45,3026936,20,4110599,0.6281472171264664,0.7444163166697461
qwen,8,46,3026937,20,4110709,0.4959854884639474,0.6468703770566469
qwen,8,47,3026938,20,4110793,0.6437653388431166,0.7237050878321979
qwen,8,48,3026939,20,4110903,0.8798382683175153,0.8564587850266308
qwen,8,49,3026940,20,4110994,0.6199839975602079,0.6972283328009129
qwen,8,50,3026941,20,4111094,0.629126902897367,0.7063302100515749
qwen,9,1,3026992,20,4116205,0.7314404080851814,0.7277690957048639
qwen,9,2,3026993,20,4116293,0.5574637152136431,0.6970685901242253
qwen,9,3,3026994,20,4116400,0.7684436788616706,0.7780017399883533
qwen,9,4,3026995,20,4116505,0.7844003821012273,0.8082312884177064
qwen,9,5,3026996,20,4116608,0.6362721115350201,0.7262064476960121
qwen,9,6,3026997,20,4116700,0.6412649278818162,0.771607378476305
qwen,9,7,3026998,20,4116795,0.559067369966686,0.7198912763648738
qwen,9,8,3026999,20,4116908,0.7438200756920107,0.7850863165248119
qwen,9,9,3027000,20,4116999,0.8675590139582676,0.8474729871448916
qwen,9,10,3027001,20,4117108,0.8166196185332127,0.7725207114372767
qwen,9,11,3027002,20,4117210,0.7032773291631126,0.7244265873766647
qwen,9,12,3027003,20,4117296,0.5531703240124398,0.6984388717776635
qwen,9,13,3027004,20,4117402,0.584890826805711,0.6664748427084831
qwen,9,14,3027005,20,4117504,0.6315398004798345,0.6534266453078469
qwen,9,15,3027006,20,4117606,0.5009094645887023,0.6370648458710222
qwen,9,16,3027007,20,4117706,0.5524420490835522,0.7103039959241869
qwen,9,17,3027008,20,4117802,0.721594868804553,0.7491040121990399
