model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
llama,6,L06_A,R228,0.9876773644250632,3
llama,6,L06_A,R090,0.9862479061610498,4
llama,6,L06_A,R160,0.985672538997663,5
llama,6,L06_A,R212,0.984894597284603,6
llama,6,L06_A,R077,0.984035655983163,7
llama,6,L06_A,R100,0.9836970596736375,8
llama,6,L06_A,R073,0.9813842764988914,9
llama,6,L06_A,R192,0.9811993609561518,10
llama,6,L06_A,R108,0.979637545129904,11
llama,6,L06_A,R017,0.9784727888486909,12
llama,6,L06_A,R072,0.9778667235380663,13
llama,6,L06_A,R272,0.976983355983782,14
llama,6,L06_A,R205,0.9728089863772129,15
llama,6,L06_A,R147,0.9722111542752017,16
llama,6,L06_A,R116,0.9717482997913903,17
llama,6,L06_A,R268,0.971036048859597,18
llama,6,L06_A,R041,0.9709864307058738,19
llama,6,L06_A,R101,0.9704724426168654,20
llama,6,L06_A,R238,0.969634658203578,21
llama,6,L06_A,R112,0.9692619212372974,22
llama,6,L06_A,R269,0.9691091724180769,23
llama,6,L06_A,R009,0.9690919568754026,24
llama,6,L06_A,R028,0.9679602387760713,25
llama,6,L06_A,R174,0.9674792254079883,26
