model,K,seed,objective,iterations,ari_to_retained,nmi_to_retained,retained_start
llama,8,2036982,267.67374988641495,10,0.7408500702767046,0.6999068982712231,False
llama,8,2036983,267.6532233492867,9,0.7453260010571179,0.6682550724360596,False
llama,8,2036984,267.6053327708539,14,0.6424791011245716,0.6096161334716692,False
llama,8,2036985,267.5177421926269,10,0.6560419293769981,0.6363082541305504,False
llama,8,2036986,267.4737662750674,6,0.5998933402905813,0.5438631101381246,False
llama,8,2036987,267.62378501360575,18,0.6748604919030795,0.680448254211331,False
llama,8,2036988,267.5339449332665,6,0.624942122922966,0.6110004764788096,False
llama,8,2036989,267.6098062183934,9,0.7957492472964589,0.7044339005871385,False
llama,8,2036990,267.64361511201514,8,0.6566537665909492,0.5822662187129983,False
llama,8,2036991,267.6416106275137,6,0.6433778076533642,0.6265054835319123,False
llama,9,2036992,267.511311022398,4,0.5582910695184248,0.5397331832418191,False
llama,9,2036993,267.56413484236805,8,0.572073613439167,0.626371953859479,False
llama,9,2036994,267.6743189586303,16,0.541641023582418,0.5742336885085354,False
llama,9,2036995,267.4424626662957,13,0.6604765774515705,0.634126465315949,False
llama,9,2036996,267.59579173038253,10,0.6376015201547423,0.609142042653863,False
llama,9,2036997,267.90564262781857,7,0.8556595743483082,0.7743104038452685,False
llama,9,2036998,267.8416376792386,13,0.7221808765808585,0.6575162160814993,False
llama,9,2036999,267.7002149891667,4,0.7351681535607794,0.6429902557922088,False
llama,9,2037000,267.8587359806307,6,0.758959536846227,0.6749225124835284,False
llama,9,2037001,267.69974429387435,5,0.5481141391316557,0.5736794353602925,False
llama,9,2037002,267.55265495773097,4,0.5491018609863677,0.5948100872575116,False
llama,9,2037003,267.82700355653975,15,0.6728960770598091,0.6473924007333022,False
llama,9,2037004,267.72819562104485,8,0.6654907365418784,0.6337606371544712,False
llama,9,2037005,267.6532425653063,8,0.5634978445183048,0.5937041882957369,False
llama,9,2037006,267.70920448786,12,0.799706859312199,0.7229192470379777,False
llama,9,2037007,267.7308805946434,7,0.6425104340382272,0.6285236781429486,False
llama,9,2037008,267.89558699768355,14,0.7571518923578796,0.7141741347831682,False
llama,9,2037009,267.59016083481845,5,0.5127059419737974,0.5696260947381755,False
llama,9,2037010,267.8037010839507,6,0.7545997133842266,0.6888675085053647,False
llama,9,2037011,267.7770250378576,8,0.7846669592908063,0.7119120601797777,False
