occupation_level,occupation_code,occupation_title,analytic_n,split_replicates,split_seed_first,split_seed_last,euclidean_distance_median,euclidean_distance_p05,euclidean_distance_p95,uncentered_cosine_median,uncentered_cosine_p05,uncentered_cosine_p95,centered_cosine_median,centered_cosine_p05,centered_cosine_p95,pearson_r_median,pearson_r_p05,pearson_r_p95,kendall_tau_b_median,kendall_tau_b_p05,kendall_tau_b_p95
narrow,3600,"Nursing, psychiatric, and home health aides",134,500,20260911,20261410,0.3953911651,0.1941296655,0.6419934788,0.6567872395,0.217878429,0.9098014511,0.6173290864,0.1282154039,0.9429510492,0.6173290864,0.1282154039,0.9429510492,0.4,0,0.8
narrow,3630,Massage therapists,12,500,20260911,20261410,1.206289144,0.6636423883,2.072034276,0.280078903,-0.5788475374,0.7662518987,-0.3332386905,-0.6272560324,0.3967399128,-0.3332386905,-0.6272560324,0.3967399128,-0.2,-0.6,0.4
narrow,3640,Dental assistants,14,500,20260911,20261410,1.312820908,0.6661000119,1.984224843,-0.09650281551,-0.4700573744,0.5991019359,0.2289017349,-0.4820643369,0.8381860211,0.2289017349,-0.4820643369,0.8381860211,0.2,-0.4,0.6
narrow,3650,Medical assistants and other healthcare support occupations,77,500,20260911,20261410,0.5164370073,0.2571291231,0.7889826546,0.1324035546,-0.3210819166,0.7190152166,0.3127690763,-0.2506690482,0.8575175734,0.3127690763,-0.2506690482,0.8575175734,0.2,-0.2,0.8
narrow,3800,"Bailiffs, correctional officers, and jailers",27,500,20260911,20261410,0.9135596419,0.5291381314,1.404088672,0.5305956563,0.02188259839,0.8373210094,-0.1715050097,-0.6503127996,0.4547018315,-0.1715050097,-0.6503127996,0.4547018315,0,-0.6,0.4
narrow,3850,Police and sheriff's patrol officers,34,500,20260911,20261410,0.6092002384,0.2889973712,0.973136597,0.6581196786,0.2433449416,0.9282900303,0.7652412472,0.3654805865,0.9647992522,0.7652412472,0.3654805865,0.9647992522,0.4,0,0.8
narrow,3920,Security guards and gaming surveillance officers,86,500,20260911,20261410,0.5439491257,0.2625190562,0.8725236272,0.3923622356,-0.1250805426,0.8506002368,0.5198404475,-0.02217180997,0.8977962623,0.5198404475,-0.02217180997,0.8977962623,0.4,-0.2,0.6
narrow,4000,Chefs and head cooks,22,500,20260911,20261410,0.8625554141,0.4664814039,1.405140308,-0.328821845,-0.7488562874,0.3510689201,-0.3646691088,-0.7625914204,0.4483674485,-0.3646691088,-0.7625914204,0.4483674485,-0.2,-0.6,0.4
narrow,4010,First-line supervisors/managers of food preparation and serving workers,42,500,20260911,20261410,0.6833751843,0.3483942645,1.07187366,-0.0005730176182,-0.463520224,0.6610558188,0.2485460769,-0.2897166069,0.8162134128,0.2485460769,-0.2897166069,0.8162134128,0.2,-0.21,0.6
narrow,4020,Cooks,120,500,20260911,20261410,0.4148281296,0.2184880008,0.6896401898,0.8274667295,0.5842535144,0.9626563649,0.509672715,-0.008553277654,0.9078007699,0.509672715,-0.008553277654,0.9078007699,0.2,-0.2,0.6
