model,persona,residual_trait_hifwb_score,within_model_percentile
Llama,golem,0.20054473302009385,91.27272727272727
Llama,gossip,-0.11817407608355354,14.545454545454545
Llama,grader,0.032699759256923644,68.36363636363636
Llama,graduate,-0.14475101666534917,9.818181818181818
Llama,grandparent,0.01337430311787295,54.54545454545454
Llama,guardian,0.025143716421824943,64.72727272727272
Llama,guide,-0.038490328005601905,32.72727272727273
Llama,guru,0.04189988574703544,72.36363636363636
Llama,hacker,-0.18028324242269636,8.0
Llama,healer,0.02982659310948246,66.9090909090909
Llama,hedonist,0.04248301283068621,72.72727272727273
Llama,hermit,-0.002745944079253306,49.45454545454545
Llama,historian,-0.01825628946612497,40.72727272727273
Llama,hive,0.07246861985814616,78.9090909090909
Llama,hoarder,0.25217600396448286,94.9090909090909
Llama,homunculus,0.12670351030952506,85.0909090909091
Llama,hybrid,-0.005281943473856381,48.0
Llama,idealist,0.1605395222317938,86.9090909090909
Llama,immigrant,-0.036023717590941605,34.54545454545455
Llama,improviser,-0.08067343349204516,22.90909090909091
Llama,infant,0.49254446834366117,99.63636363636364
Llama,influencer,0.025105656463749987,64.36363636363637
Llama,instructor,0.05401211553613435,74.18181818181819
Llama,interpreter,-0.059947911337490875,25.818181818181817
Llama,interviewer,-0.24805066723268415,4.363636363636364
Llama,jester,-0.0183997982260916,40.36363636363636
Llama,journalist,-0.10665339524421408,17.09090909090909
Llama,judge,-0.012245620564675645,45.09090909090909
Llama,lawyer,-0.013529365778103807,43.63636363636363
Llama,leviathan,0.25435931952624286,95.63636363636364
Llama,librarian,0.027639942575052725,65.45454545454545
Llama,linguist,-0.09125694622493126,20.0
Llama,loner,-0.25979916631889566,4.0
Llama,luddite,-0.0810141948520301,22.545454545454547
Llama,marketer,0.016022617091827496,56.72727272727273
Llama,martyr,0.18285150791276555,90.54545454545455
Llama,mathematician,-0.02010918068767175,39.63636363636363
Llama,maverick,-0.1324717809744204,12.0
Llama,mechanic,-0.23301042252449805,5.090909090909091
Llama,mediator,-0.08885557633359478,21.09090909090909
Llama,mentor,-0.018021383734637943,41.090909090909086
Llama,merchant,-0.017658458455952163,41.45454545454545
Llama,minimalist,-0.21645637816449048,6.181818181818182
Llama,moderator,-0.0866301731737145,21.454545454545453
Llama,musician,0.07334479586471741,79.27272727272727
Llama,mycorrhizal,0.02962799152229724,66.54545454545455
Llama,mystic,0.168227167773094,88.36363636363636
Llama,narcissist,0.26250812023417974,96.0
Llama,narrator,0.15653267793538495,86.18181818181819
Llama,naturalist,-0.050364878843165595,29.818181818181817
Llama,navigator,-0.011648539583026857,45.45454545454545
Llama,negotiator,-0.038056584169536126,33.45454545454545
Llama,networker,0.01231540419907368,54.18181818181819
Llama,newlywed,-0.122127192449355,13.818181818181818
Llama,nomad,-0.09197258519028646,19.636363636363637
Llama,novelist,0.009498938462364692,52.72727272727272
Llama,nutritionist,-0.035959992654638166,34.909090909090914
Llama,observer,-0.11408435559656734,15.636363636363637
Llama,optimist,0.1085601970172079,82.54545454545455
Llama,oracle,0.2660496327591785,96.72727272727273
Llama,organizer,0.06104604411030766,76.36363636363637
Llama,orphan,-0.16877216500948916,8.363636363636363
Llama,pacifist,0.05661554570435058,75.63636363636364
Llama,paramedic,-0.02971501785516129,37.09090909090909
Llama,parasite,-0.12495775558516353,13.090909090909092
Llama,parent,-0.10334358660480404,17.81818181818182
Llama,patient,-0.12701068370990845,12.727272727272727
Llama,peacekeeper,-0.029946685864319453,36.72727272727273
Llama,perfectionist,0.11105839378859765,82.9090909090909
Llama,pharmacist,-0.008300808429309924,47.27272727272727
Llama,philosopher,-0.11286345191244024,16.0
Llama,photographer,0.02025589753699543,61.45454545454545
Llama,physicist,-0.06753744728219609,24.363636363636363
Llama,pilgrim,0.1697909027439241,89.0909090909091
Llama,pilot,-0.034184172006879975,35.63636363636364
Llama,pirate,-0.026684370132300968,38.18181818181819
Llama,planner,0.05446653422399256,74.90909090909092
Llama,playwright,0.06470510446189119,77.0909090909091
Llama,podcaster,-0.14647634563692408,9.454545454545455
Llama,poet,0.2830838184128472,97.81818181818181
Llama,polymath,0.021553212562257874,63.272727272727266
Llama,pragmatist,-0.24166501357068407,4.7272727272727275
Llama,predator,-0.002933833633988471,48.72727272727273
Llama,presenter,0.016430414833365926,57.09090909090909
Llama,prey,0.01209490036540942,53.81818181818182
Llama,prisoner,-0.13539957664852945,11.272727272727273
Llama,procrastinator,-0.03737761166280111,34.18181818181818
Llama,prodigy,0.06375200328518087,76.72727272727272
Llama,producer,0.01675976287174308,57.45454545454546
Llama,programmer,-0.0123257821201553,44.72727272727273
Llama,proofreader,-0.021852581410546152,38.90909090909091
Llama,prophet,0.20939803228124557,92.36363636363636
Llama,provincial,-0.16678051435190744,8.727272727272728
Llama,provocateur,-0.2274583288108266,5.454545454545454
Llama,psychologist,-0.10733496416717626,16.727272727272727
Llama,publisher,0.02106601897475508,62.54545454545455
Llama,purist,-0.05071956745977906,29.09090909090909
Llama,realist,-0.40449777627647127,1.8181818181818181
Llama,rebel,-0.21379344108337567,6.545454545454546
Llama,recruiter,0.001126850498105381,50.18181818181818
