lower_K,higher_K,lower_profile_id,higher_profile_id,weighted_sqrt_js_distance,expected_score_profile_correlation,lower_profile_nearest_higher,higher_profile_nearest_lower,mutual_nearest
9,10,H09_A,H10_F,0.22149251556515911,0.5492097718264085,False,False,False
9,10,H09_A,H10_G,0.2219159589639993,0.4689917830196682,False,False,False
9,10,H09_A,H10_H,0.330783846380288,0.7510050950683045,False,False,False
9,10,H09_A,H10_I,0.23509841901710804,0.4857800926792473,False,False,False
9,10,H09_A,H10_J,0.19214941478334624,0.6946120527608356,False,False,False
9,10,H09_B,H10_A,0.1949576718070372,0.7883594230942599,False,False,False
9,10,H09_B,H10_B,0.322773289538667,0.3111437296388468,False,False,False
9,10,H09_B,H10_C,0.14962688658524292,0.8867476668504914,False,False,False
9,10,H09_B,H10_D,0.28493985726549986,0.934935079569675,False,False,False
9,10,H09_B,H10_E,0.16489774349764302,0.9899525645981124,False,False,False
9,10,H09_B,H10_F,0.12325241920385263,0.9509236067277546,True,True,True
9,10,H09_B,H10_G,0.2968159383683942,0.23227273041331156,False,False,False
9,10,H09_B,H10_H,0.3348250394721607,0.7698935839372651,False,False,False
9,10,H09_B,H10_I,0.2680816168684578,0.6107184990383573,False,False,False
9,10,H09_B,H10_J,0.2606283426279318,0.5985851415872302,False,False,False
9,10,H09_C,H10_A,0.24813149131818193,0.8162478895465292,False,False,False
9,10,H09_C,H10_B,0.15121612209545132,0.8777592672039339,False,False,False
9,10,H09_C,H10_C,0.2717074398682865,0.8666377794298381,False,False,False
9,10,H09_C,H10_D,0.11471778072776581,0.8615420167020689,True,True,True
9,10,H09_C,H10_E,0.42024785464167513,0.6349981048961676,False,False,False
9,10,H09_C,H10_F,0.286415950100961,0.6295061482596759,False,False,False
9,10,H09_C,H10_G,0.30829228582884255,0.7780636699263771,False,False,False
9,10,H09_C,H10_H,0.46661408670472493,0.9053971123984592,False,False,False
9,10,H09_C,H10_I,0.1935426396810836,0.7694649652151044,False,False,False
9,10,H09_C,H10_J,0.3405956987249071,0.5882053020959982,False,False,False
9,10,H09_D,H10_A,0.1880024603883367,0.7515062562787606,False,False,False
9,10,H09_D,H10_B,0.2065113132422118,0.7696626197938374,False,False,False
9,10,H09_D,H10_C,0.07538891006442464,0.9728853869449189,True,True,True
9,10,H09_D,H10_D,0.24344651544196064,0.8745905690731458,False,False,False
9,10,H09_D,H10_E,0.2620919712825246,0.7323213426858626,False,False,False
9,10,H09_D,H10_F,0.20789941064733536,0.6933809810089397,False,False,False
9,10,H09_D,H10_G,0.2030091224378674,0.7246813999374605,False,False,False
