model,persona,direct_trait_hifwb_score,within_model_percentile
Qwen,collaborator,0.5286128582720144,95.63636363636364
Qwen,collector,0.1710487613427199,62.909090909090914
Qwen,comedian,-0.9268737721252265,2.5454545454545454
Qwen,competitor,-0.5532772454274634,11.636363636363637
Qwen,composer,0.29710746146502093,79.27272727272727
Qwen,conservator,0.2581598390762169,74.54545454545455
Qwen,consultant,0.17562645649883113,64.0
Qwen,contrarian,-0.8620124662101358,4.363636363636364
Qwen,coordinator,0.3366091244271818,84.0
Qwen,coral_reef,0.29107542366335076,78.54545454545455
Qwen,cosmopolitan,0.29338526485486455,78.9090909090909
Qwen,counselor,0.556718989605569,97.0909090909091
Qwen,criminal,-1.1027225807520673,0.7272727272727273
Qwen,critic,-0.06478337556804926,29.818181818181817
Qwen,crystalline,0.11826325915080131,55.63636363636364
Qwen,curator,0.3151757439064605,81.0909090909091
Qwen,cyborg,0.05537238029822055,46.909090909090914
Qwen,cynic,-1.3942270401691705,0.36363636363636365
Qwen,daredevil,-0.7294037386099338,7.636363636363637
Qwen,debugger,-0.04138921390258122,31.636363636363633
Qwen,demon,-0.8435551191695531,4.7272727272727275
Qwen,designer,0.3778221399897779,88.0
Qwen,destroyer,-0.5757923341201229,11.272727272727273
Qwen,detective,-0.12765484031909627,26.181818181818183
Qwen,devils_advocate,-0.7163761164228594,8.0
Qwen,dilettante,-0.025514837006657715,34.18181818181818
Qwen,dispatcher,0.17760936549401504,64.36363636363637
Qwen,divorcee,0.08614779789254613,51.272727272727266
Qwen,doctor,0.3166705344983657,81.81818181818183
Qwen,dreamer,0.17001980227827343,62.54545454545455
Qwen,echo,-0.08250028647517293,29.09090909090909
Qwen,economist,-0.12196688688085967,26.545454545454543
Qwen,ecosystem,0.5385928153148642,96.72727272727273
Qwen,editor,0.27165532459109987,76.36363636363637
Qwen,egregore,-0.010447047731573225,36.72727272727273
Qwen,elder,0.24910700484103723,72.72727272727273
Qwen,eldritch,-0.3126728645150213,20.0
Qwen,emissary,0.43750430264184575,91.63636363636364
Qwen,empath,0.5345394742314414,96.0
Qwen,engineer,0.0639210699869318,48.0
Qwen,entrepreneur,0.050097055717024296,45.81818181818182
Qwen,evaluator,0.08507970326550528,50.18181818181818
Qwen,evangelist,0.2520043611579531,73.45454545454545
Qwen,examiner,0.021960657500184753,40.72727272727273
Qwen,exile,-0.26997106075328065,21.818181818181817
Qwen,expatriate,0.1087159887972501,54.54545454545454
Qwen,facilitator,0.45559455304971996,92.36363636363636
Qwen,familiar,0.12572812933618144,57.45454545454546
Qwen,fixer,-0.7425856358433606,6.909090909090909
Qwen,flaneur,-0.3030993324919013,21.09090909090909
Qwen,fool,-0.5411977901763056,13.090909090909092
Qwen,forecaster,0.012690872391244657,39.27272727272727
Qwen,futurist,0.10326988685641475,53.81818181818182
Qwen,gamer,-0.30933367996147043,20.727272727272727
Qwen,generalist,0.16405427042270998,61.81818181818181
Qwen,genie,-0.42566717911258095,17.09090909090909
Qwen,geographer,0.11703180449130932,55.27272727272727
Qwen,ghost,-0.21156330708127893,22.545454545454547
Qwen,golem,-0.03604645313901648,32.36363636363636
Qwen,gossip,-0.9639514582492626,1.8181818181818181
Qwen,grader,0.14871958957632742,59.63636363636363
Qwen,graduate,-0.0005992121273123396,38.18181818181819
Qwen,grandparent,0.3622447773285404,86.18181818181819
Qwen,guardian,0.2807230568112784,77.81818181818181
Qwen,guide,0.3090444385391381,80.36363636363636
Qwen,guru,0.4001787779691398,90.18181818181819
Qwen,hacker,-0.7871312047786091,5.454545454545454
Qwen,healer,0.7695634145381558,99.27272727272727
Qwen,hedonist,-0.15314795586411403,25.09090909090909
Qwen,hermit,0.030723182061739986,42.54545454545455
Qwen,historian,-0.013739684460011298,34.909090909090914
Qwen,hive,0.13728290690137732,58.909090909090914
Qwen,hoarder,-0.5494489012900102,12.0
Qwen,homunculus,-0.281139006841532,21.454545454545453
Qwen,hybrid,0.37654588656080307,87.63636363636364
Qwen,idealist,0.4829570046786628,93.81818181818183
Qwen,immigrant,0.3628965238813858,86.54545454545455
Qwen,improviser,-0.05021890222800965,31.272727272727273
Qwen,infant,-0.01462083226491752,34.54545454545455
Qwen,influencer,0.02172357316901946,40.36363636363636
Qwen,instructor,0.31473990315920897,80.72727272727272
Qwen,interpreter,0.2092520599988066,68.0
Qwen,interviewer,0.09832155023698101,53.45454545454545
Qwen,jester,-0.744865329575718,6.545454545454546
Qwen,journalist,-0.05325361617587743,30.545454545454547
Qwen,judge,0.02366183839578274,41.45454545454545
Qwen,lawyer,-0.10255242854877722,27.636363636363637
Qwen,leviathan,-0.3396090133450748,19.272727272727273
Qwen,librarian,0.2732963460937756,76.72727272727272
Qwen,linguist,0.02331715689338137,41.090909090909086
Qwen,loner,-0.4445004033274173,16.0
Qwen,luddite,-0.49496560936181844,13.818181818181818
Qwen,marketer,0.2273302116482311,69.81818181818183
Qwen,martyr,0.05184419959267078,46.18181818181818
Qwen,mathematician,-0.033313923919434225,32.72727272727273
Qwen,maverick,-0.6730940604253328,9.818181818181818
Qwen,mechanic,-0.17388860592056948,24.363636363636363
Qwen,mediator,0.38360898268013854,88.36363636363636
Qwen,mentor,0.32662437147617,82.9090909090909
Qwen,merchant,0.11990737516739128,56.72727272727273
